,Sim time,Event
263,22.942351531234817,There occurs 3 demands. 0 overdue inventories are discarded.
264,23.0,There occurs 2 demands. 0 overdue inventories are discarded.
265,23.07612065466409,Order 38 goods.
266,23.08393037055308,There occurs 4 demands. 0 overdue inventories are discarded.
267,23.142310215443917,There occurs 4 demands. 0 overdue inventories are discarded.
268,23.180213513629262,There occurs 3 demands. 0 overdue inventories are discarded.
269,23.2689725275089,There occurs 3 demands. 0 overdue inventories are discarded.
270,23.630348555502845,There occurs 3 demands. 0 overdue inventories are discarded.
271,23.644279992623847,There occurs 2 demands. 0 overdue inventories are discarded.
272,23.675285960332126,There occurs 2 demands. 0 overdue inventories are discarded.
273,24.0,There occurs 2 demands. 0 overdue inventories are discarded.
274,24.003316588334453,Order 40 goods.
275,24.272948535833912,There occurs 3 demands. 0 overdue inventories are discarded.
276,24.66746268766768,There occurs 1 demands. 0 overdue inventories are discarded.
277,24.672787371405235,40 goods have arrived.
278,24.731514139427187,There occurs 3 demands. 0 overdue inventories are discarded.
279,24.829818743784845,There occurs 3 demands. 0 overdue inventories are discarded.
280,24.932526151513567,There occurs 2 demands. 0 overdue inventories are discarded.
281,25.0,There occurs 3 demands. 0 overdue inventories are discarded.
282,25.071724248863536,Order 40 goods.
283,25.07323163131845,There occurs 2 demands. 0 overdue inventories are discarded.
284,25.277535816379693,There occurs 3 demands. 0 overdue inventories are discarded.
285,25.29030621348116,There occurs 2 demands. 0 overdue inventories are discarded.
286,25.407671673726153,There occurs 3 demands. 0 overdue inventories are discarded.
287,25.73571894434512,There occurs 3 demands. 0 overdue inventories are discarded.
288,25.881055536706693,There occurs 2 demands. 0 overdue inventories are discarded.
289,25.915834352389535,There occurs 3 demands. 0 overdue inventories are discarded.
290,26.0,There occurs 3 demands. 0 overdue inventories are discarded.
291,26.11702434037928,Order 36 goods.
292,26.21313479120627,There occurs 3 demands. 0 overdue inventories are discarded.
293,26.263334466089415,There occurs 2 demands. 0 overdue inventories are discarded.
294,26.53710276983782,There occurs 2 demands. 0 overdue inventories are discarded.
295,26.719089364741606,36 goods have arrived.
296,26.80013168578054,There occurs 3 demands. 0 overdue inventories are discarded.
297,26.852347337520023,There occurs 2 demands. 0 overdue inventories are discarded.
298,26.872809924981738,There occurs 1 demands. 0 overdue inventories are discarded.
299,26.892232692819796,There occurs 3 demands. 0 overdue inventories are discarded.
300,27.0,There occurs 2 demands. 0 overdue inventories are discarded.
301,27.050639167845265,Order 36 goods.
302,27.229599981843396,There occurs 2 demands. 0 overdue inventories are discarded.
303,27.234006348215786,There occurs 1 demands. 0 overdue inventories are discarded.
304,27.323054076423006,There occurs 2 demands. 0 overdue inventories are discarded.
305,27.335745862203655,There occurs 3 demands. 0 overdue inventories are discarded.
306,27.640733812389303,There occurs 3 demands. 0 overdue inventories are discarded.
307,27.674436649234973,There occurs 2 demands. 0 overdue inventories are discarded.
308,27.703023639593905,There occurs 2 demands. 0 overdue inventories are discarded.
309,27.732027749745914,There occurs 1 demands. 0 overdue inventories are discarded.
310,27.792589882354342,There occurs 2 demands. 0 overdue inventories are discarded.
311,27.992489664522985,There occurs 3 demands. 0 overdue inventories are discarded.
312,28.0,There occurs 2 demands. 0 overdue inventories are discarded.
313,28.020526565677763,Order 41 goods.
314,28.032612143104025,There occurs 3 demands. 0 overdue inventories are discarded.
315,28.192330723945535,There occurs 1 demands. 0 overdue inventories are discarded.
316,28.332878881359893,There occurs 4 demands. 0 overdue inventories are discarded.
317,28.3762474518498,There occurs 2 demands. 0 overdue inventories are discarded.
318,28.377973296528342,There occurs 2 demands. 0 overdue inventories are discarded.
319,28.396367462706756,There occurs 1 demands. 0 overdue inventories are discarded.
320,28.412559979859562,There occurs 3 demands. 0 overdue inventories are discarded.
321,28.420864326158174,There occurs 3 demands. 0 overdue inventories are discarded.
322,28.524444246810674,There occurs 2 demands. 0 overdue inventories are discarded.
323,28.580368622850237,There occurs 3 demands. 0 overdue inventories are discarded.
324,28.695733342224365,There occurs 4 demands. 0 overdue inventories are discarded.
325,28.716409863591302,There occurs 1 demands. 0 overdue inventories are discarded.
326,28.73768756314291,There occurs 3 demands. 0 overdue inventories are discarded.
327,28.915101034527073,There occurs 3 demands. 0 overdue inventories are discarded.
328,28.941954732019127,41 goods have arrived.
329,28.967841716117547,There occurs 1 demands. 0 overdue inventories are discarded.
330,29.0,There occurs 4 demands. 0 overdue inventories are discarded.
331,29.201719418431484,Order 40 goods.
332,29.266150736930257,There occurs 3 demands. 0 overdue inventories are discarded.
333,29.32290821163957,There occurs 2 demands. 0 overdue inventories are discarded.
334,29.345876747471856,There occurs 1 demands. 0 overdue inventories are discarded.
335,29.36922751595537,There occurs 2 demands. 0 overdue inventories are discarded.
336,29.374281943656204,There occurs 2 demands. 0 overdue inventories are discarded.
337,29.57628368669983,There occurs 3 demands. 0 overdue inventories are discarded.
338,29.679516393688093,There occurs 1 demands. 0 overdue inventories are discarded.
339,29.765113444670064,There occurs 2 demands. 0 overdue inventories are discarded.
340,29.770963515301297,There occurs 4 demands. 0 overdue inventories are discarded.
341,29.803106375785145,40 goods have arrived.
342,29.846449043696182,There occurs 2 demands. 0 overdue inventories are discarded.
343,30.0,There occurs 3 demands. 0 overdue inventories are discarded.
344,30.053568917574793,Order 25 goods.
345,30.184661703711708,There occurs 4 demands. 0 overdue inventories are discarded.
346,30.255412375554602,There occurs 3 demands. 0 overdue inventories are discarded.
347,30.338212995296786,There occurs 4 demands. 0 overdue inventories are discarded.
348,30.41865789776271,There occurs 2 demands. 0 overdue inventories are discarded.
349,30.50749177852219,There occurs 3 demands. 0 overdue inventories are discarded.
350,30.636917888155434,There occurs 1 demands. 0 overdue inventories are discarded.
351,30.69791807227695,There occurs 2 demands. 0 overdue inventories are discarded.
352,30.753292502436782,25 goods have arrived.
353,30.8010984776489,There occurs 2 demands. 0 overdue inventories are discarded.
354,30.85900226376497,There occurs 3 demands. 0 overdue inventories are discarded.
355,31.0,There occurs 2 demands. 0 overdue inventories are discarded.
356,31.039367480823206,Order 26 goods.
